		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000    1    3    6    2    4    4    2    5 11.474230 0.176249 SUCCESS  76
100101000    2    5    4    4    2    5    2    1  8.806452 0.358886 SUCCESS  77
100110000    5    4    3    6    4    4    2    6 16.998452 0.030125 SUCCESS  78
100111000    3    2    3    0    5    2    2    4  6.860231 0.551785 SUCCESS  79
101000000    1    3    1    2    5    2    7    2 13.764680 0.088109 SUCCESS  80
101000100    4    0    4    3    3    3    2    2  5.165563 0.739743 SUCCESS  81
101001000    1    2    4    1    3    7    2    5 14.737791 0.064449 SUCCESS  82
101001100    5    2    2    4    4    4    2    4  7.237560 0.511232 SUCCESS  83
101010000    5    3    2    4    3    5    5    2  9.905338 0.271733 SUCCESS  84
101010100    3    2    1    1    2    5    4    3  6.012897 0.645787 SUCCESS  85
101011000    2    4    2    1    1    3    2    2  3.219342 0.919848 SUCCESS  86
101011100    3    1    0    3    1    1    1    2  6.294238 0.614310 SUCCESS  87
101100000    5    2    3    0    4    4    2    1  8.554899 0.381222 SUCCESS  88
101100100    2    2    2    0    2    0    3    2  5.509792 0.701955 SUCCESS  89
101101000    3    4    1    2    4    2    2    2  3.408006 0.906211 SUCCESS  90
101101100    0    4    1    2    2    2    2    0  7.204461 0.514742 SUCCESS  91
101110000    3    4    2    5    1    0    3    2  7.644677 0.468925 SUCCESS  92
101110100    1    0    3    2    1    2    2    2  4.662458 0.792968 SUCCESS  93
101111000    2    1    2    7    1    2    2    2 10.971126 0.203341 SUCCESS  94
101111100    3    0    2    2    0    2    1    1  7.078684 0.528168 SUCCESS  95
110000000    4    5    1    4    4    3    4    8 21.172234 0.006704 FAILURE  96
110000010    2    3    6    2    3    2    2    3  6.138673 0.631702 SUCCESS  97
110000100    2    4    4    5    4    2    2    2  6.264449 0.617636 SUCCESS  98
110001000    3    8    4    1    0    4    1    5 22.426686 0.004184 FAILURE  99
110001010    4    1    0    2    5    3    1    6 13.701792 0.089877 SUCCESS 100
110010000    0    2    5    4    2    2    1    2  7.518901 0.481816 SUCCESS 101
110010010    3    2    3    3    2    3    3    3  0.991780 0.998300 SUCCESS 102
110010100    0    5    4    2    3    3    2    4  7.833341 0.449917 SUCCESS 103
110011000    3    4    2    4    3    1    1    2  4.255341 0.833382 SUCCESS 104
110011010    0    3    2    2    1    5    2    2  6.608679 0.579380 SUCCESS 105
110100000    1    1    1    4    5    1    4    2  8.429123 0.392713 SUCCESS 106
110100010    2    1    3    2    2    2    1    1  3.030678 0.932418 SUCCESS 107
110100100    1    2    3    0    3    4    2    4  5.887121 0.659874 SUCCESS 108
110101000    3    5    2    5    3    4    2    2  7.174672 0.517910 SUCCESS 109
110101010    4    0    2    1    2    2    2    1  5.572680 0.694975 SUCCESS 110
110101100    1    2    1    2    0    2    1    1  6.168462 0.628368 SUCCESS 111
110110000    3    3    2    0    4    5    2    1  7.644677 0.468925 SUCCESS 112
110110010    1    4    2    0    4    1    3    3  6.671567 0.572447 SUCCESS 113
110110100    2    1    2    4    3    1    0    2  5.635568 0.687978 SUCCESS 114
110111000    3    3    2    1    2    5    3    1  5.102675 0.746548 SUCCESS 115
110111010    1    0    2    2    1    2    4    1  6.357126 0.607295 SUCCESS 116
110111100    1    3    2    4    3    1    0    1  6.482903 0.593305 SUCCESS 117
111000000    5    3    3    3    5    1    2    7 15.836677 0.044778 SUCCESS 118
111000010    0    2    3    5    5    0    2    7 19.758907 0.011288 SUCCESS 119
111000100    5    2    3    2    1    4    3    4  6.201561 0.624665 SUCCESS 120
111000110    1    3    1    3    1    5    4    0  9.213569 0.324601 SUCCESS 121
111001000    3    3    4    5    4    3    1    0  8.680676 0.369946 SUCCESS 122
111001010    1    3    5    1    1    6    3    1 11.944236 0.153709 SUCCESS 123
111001100    4    5    2    4    1    0    1    2  9.276457 0.319514 SUCCESS 124
111010000    1    1    2    2    3    2    3    3  2.372008 0.967432 SUCCESS 125
111010010    0    1    0    3    2    2    4    3  7.330237 0.501457 SUCCESS 126
111010100    4    4    2    3    4    3    1    3  4.506893 0.808743 SUCCESS 127
111010110    1    1    0    3    0    2    1    2  7.863131 0.446953 SUCCESS 128
111011000    2    5    1    1    4    4    2    4  7.833341 0.449917 SUCCESS 129
111011010    1    2    1    1    1    1    1    0  7.737354 0.459538 SUCCESS 130
111011100    2    2    6    1    2    3    4    0 10.186680 0.252167 SUCCESS 131
111100000    3    1    2    4    3    1    1    4  5.039787 0.753315 SUCCESS 132
111100010    4    1    0    3    2    2    1    5  8.366235 0.398537 SUCCESS 133
111100100    3    5    4    3    1    2    2    1  6.012897 0.645787 SUCCESS 134
111100110    3    5    2    1    0    2    1    1  8.177571 0.416320 SUCCESS 135
111101000    2    0    3    4    2    1    4    2  5.824233 0.666913 SUCCESS 136
111101010    2    0    1    0    3    3    0    3  8.836241 0.356298 SUCCESS 137
111101100    2    2    1    1    4    1    2    1  4.725346 0.786488 SUCCESS 138
111101110    1    0    4    1    1    1    2    0  9.557799 0.297443 SUCCESS 139
111110000    2    0    2    1    1    1    2    4  6.357126 0.607295 SUCCESS 140
111110010    2    2    1    2    1    4    3    1  4.003788 0.856782 SUCCESS 141
111110100    2    0    4    2    2    2    4    2  4.976899 0.760042 SUCCESS 142
111110110    1    2    2    1    2    1    3    1  3.815124 0.873406 SUCCESS 143
111111000    1    2    0    0    1    1    5    5 13.261576 0.103161 SUCCESS 144
111111010    2    0    1    0    2    1    0    4 10.405133 0.237734 SUCCESS 145
111111100    1    3    1    0    1    3    2    1  6.294238 0.614310 SUCCESS 146
111111110    0    2    2    0    2    1    0    2  8.647577 0.372892 SUCCESS 147

